structure_name,size,mode,num_atoms,num_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,2,eager,96,4544,56.00076751708984,17.856898116527216,1127.08837890625,32.89142322540283,30.403062620521574,407.90771484375
TiO2.cif,2,compile,96,4544,89.01064834594726,11.234610898613132,974.86572265625,10.740770117441814,93.10319363190833,575.76904296875
TiO2.cif,3,eager,324,15336,208.11789245605468,4.804968896228641,3562.86572265625,103.37696990966796,9.67333440778746,1247.54931640625
TiO2.cif,3,compile,324,15336,190.6771026611328,5.24446819279176,3077.2783203125,31.06231797536214,32.19334760506847,1776.00830078125
TiO2.cif,4,eager,768,36352,405.59854278564455,2.4654920925800554,8341.66455078125,232.551220703125,4.30012793300535,2893.65576171875
TiO2.cif,4,compile,768,36352,383.6744216918945,2.606376509516287,7177.7958984375,64.9776830037435,15.389899328087584,4110.41650390625
AlN_mp-661_computed.cif,2,eager,32,1504,41.724979400634766,23.966458806323267,430.68115234375,23.813154029846192,41.993597267571154,170.5810546875
AlN_mp-661_computed.cif,2,compile,32,1504,41.44056339263916,24.13094606183911,362.21044921875,5.208063999811809,192.0099292243979,238.912109375
AlN_mp-661_computed.cif,3,eager,108,5076,101.0421085357666,9.896863936148193,1251.6162109375,59.418182373046875,16.82986520391471,453.01806640625
AlN_mp-661_computed.cif,3,compile,108,5076,98.78108139038086,10.12339595724833,1074.0458984375,11.972130171457927,83.52732435068597,646.12646484375
AlN_mp-661_computed.cif,4,eager,256,12032,176.72531204223634,5.6584989917064386,2829.12548828125,92.01993611653646,10.867210326396812,994.8623046875
AlN_mp-661_computed.cif,4,compile,256,12032,172.88698043823243,5.784125545285184,2430.82763671875,26.015752601623536,38.43824990623543,1411.09814453125
