structure_name,size,mode,num_atoms,num_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,2,eager,96,4544,55.84072780609131,17.908076045722964,1125.66650390625,32.1421922047933,31.111754718798306,407.90771484375
TiO2.cif,2,compile,96,4544,93.12946891784668,10.737739746826442,974.86572265625,11.501782655715942,86.94304438999623,559.76318359375
TiO2.cif,3,eager,324,15336,223.74366188049316,4.469400346786689,3572.96728515625,109.32025337219238,9.147435805837315,1254.98681640625
TiO2.cif,3,compile,324,15336,207.63619327545166,4.816116035576672,3076.83203125,32.92211198806763,30.37472202155325,1724.0703125
TiO2.cif,4,eager,768,36352,424.0567874908447,2.3581747291843307,8338.75634765625,232.1491527557373,4.307575488126722,2892.90576171875
TiO2.cif,4,compile,768,36352,389.6094284057617,2.5666729988847763,7174.9501953125,67.32202498118083,14.853979812394822,3982.5908203125
AlN_mp-661_computed.cif,2,eager,32,1504,42.40992593765259,23.579385671885248,430.68115234375,24.04753049214681,41.5843115502679,170.5810546875
AlN_mp-661_computed.cif,2,compile,32,1504,43.13939166069031,23.18066995161698,363.14794921875,5.964669307072957,167.65388800585998,232.8818359375
AlN_mp-661_computed.cif,3,eager,108,5076,100.48556232452393,9.951678399036494,1241.9052734375,57.635972023010254,17.350275616081667,446.10986328125
AlN_mp-661_computed.cif,3,compile,108,5076,99.3416953086853,10.06626670596562,1072.02734375,13.065562764803568,76.5370782721914,627.53125
AlN_mp-661_computed.cif,4,eager,256,12032,188.0685396194458,5.317210427770039,2828.37548828125,96.37868722279866,10.375737923139578,994.8623046875
AlN_mp-661_computed.cif,4,compile,256,12032,176.1714267730713,5.676289386519603,2431.23388671875,26.753795941670734,37.37787348682123,1369.107421875
