structure_name,size,mode,num_atoms,num_edges,amp,compile_bucket_atoms,compile_bucket_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
AlN_mp-661_computed.cif,2,eager,32,1504,none,,,252.45074462890625,3.961168747867886,420.0439453125,44.15568161010742,22.647142191801105,167.1240234375
AlN_mp-661_computed.cif,2,compile,32,1504,none,512,,44.65049743652344,22.39616706222885,376.88330078125,49.91078567504883,20.035749517361644,241.8515625
AlN_mp-661_computed.cif,3,eager,108,5076,none,,,952.2759399414062,1.0501157889818473,1268.43603515625,70.80242919921875,14.123809187199953,472.71044921875
AlN_mp-661_computed.cif,3,compile,108,5076,none,512,,115.46316528320312,8.660770710271477,1093.1494140625,14.527487754821777,68.83502618462664,634.9052734375
