structure_name,size,mode,num_atoms,num_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,2,eager,96,4544,56.22542357444763,17.785548537058293,1125.66650390625,33.01087085405985,30.29305117156625,407.90771484375
TiO2.cif,2,compile,96,4544,91.58573818206787,10.918730578030063,974.86572265625,11.074346542358398,90.29878161886015,559.76318359375
TiO2.cif,3,eager,324,15336,231.41371059417725,4.321265137801916,3572.96728515625,112.22403621673584,8.910747053053072,1254.98681640625
TiO2.cif,3,compile,324,15336,215.85766220092773,4.632682434358831,3076.83203125,33.352319399515785,29.98292226760452,1724.0703125
TiO2.cif,4,eager,768,36352,428.69898796081543,2.3326390499699605,8338.75634765625,237.55311266581217,4.2095849167288835,2892.90576171875
TiO2.cif,4,compile,768,36352,393.297269821167,2.5426060050065993,7174.9501953125,65.31699148813884,15.309951931597979,3982.5908203125
