structure_name,size,mode,num_atoms,num_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,4,eager,768,36352,397.2758392333984,2.5171427538348308,9284.92431640625,234.4316599527995,4.265635452998713,3172.82373046875
TiO2.cif,4,compile,768,36352,382.1038360595703,2.617089664193005,7175.5947265625,62.52810541788737,15.992808247056383,4114.82275390625
