structure_name,size,mode,num_atoms,num_edges,amp,compile_bucket_atoms,compile_bucket_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
AlN_mp-661_computed.cif,2,eager,32,1504,none,,,142.9096123377482,6.997429939398552,420.7158203125,19.52645182609558,51.212581215783295,167.1240234375
AlN_mp-661_computed.cif,2,compile,32,1504,none,256,,32.859989166259766,30.432146369262586,377.80517578125,12.002815842628479,83.31378345808324,243.8203125
AlN_mp-661_computed.cif,3,eager,108,5076,none,,,90.92306137084961,10.998309833863612,1270.68798828125,51.129600048065186,19.558142427477122,472.71044921875
AlN_mp-661_computed.cif,3,compile,108,5076,none,256,,78.0768051147461,12.807901124160285,1092.82421875,20.590847969055176,48.56526557346466,650.2451171875
