structure_name,size,mode,num_atoms,num_edges,amp,compile_bucket_atoms,compile_bucket_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,2,eager,96,4544,none,,,167.07830683390299,5.985217464491825,1124.4794921875,33.33708381652832,29.99662494486714,407.90771484375
TiO2.cif,2,compile,96,4544,none,,,65.33495585123698,15.305742339168766,972.56298828125,18.345983862876892,54.507842559673264,564.77587890625
TiO2.cif,3,eager,324,15336,none,,,226.62946573893228,4.412488891236934,3563.5361328125,120.22784042358398,8.317541066002873,1247.54931640625
TiO2.cif,3,compile,324,15336,none,,,183.766357421875,5.441692451378823,3067.2099609375,29.643263816833496,33.734476951628075,1751.48095703125
TiO2.cif,4,eager,768,36352,none,,,441.39417521158856,2.2655487003665957,8337.1943359375,227.88957023620605,4.388090244601833,2892.90576171875
TiO2.cif,4,compile,768,36352,none,,,374.3733266194661,2.6711304702977827,7227.93359375,69.7219934463501,14.342676543944247,4136.642578125
AlN_mp-661_computed.cif,2,eager,32,1504,none,,,42.42295519510905,23.572143793398208,430.681640625,25.573904514312744,39.10235918181121,170.5810546875
AlN_mp-661_computed.cif,2,compile,32,1504,none,,,29.683711687723797,33.68850939262986,364.44482421875,10.862975776195526,92.05580686199633,231.9443359375
AlN_mp-661_computed.cif,3,eager,108,5076,none,,,91.4696528116862,10.932587686309,1248.55029296875,55.21894454956055,18.109726800418507,453.01806640625
AlN_mp-661_computed.cif,3,compile,108,5076,none,,,73.01358795166016,13.696080798851666,1078.5615234375,12.026495933532715,83.14973916980784,623.5126953125
AlN_mp-661_computed.cif,4,eager,256,12032,none,,,177.42882283528647,5.63606286746509,2826.6103515625,104.2095365524292,9.596050736651025,994.8623046875
AlN_mp-661_computed.cif,4,compile,256,12032,none,,,151.98684438069662,6.579516826437953,2440.91943359375,24.86579203605652,40.21589171782483,1369.234375
