structure_name,size,mode,num_atoms,num_edges,amp,compile_bucket_atoms,compile_bucket_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,2,eager,96,4544,bfloat16,,,70.54024092356364,14.17630542378761,631.85302734375,25.15944544474284,39.74650403945822,290.07958984375
TiO2.cif,2,compile,96,4544,bfloat16,512,,52.63368574778239,18.999239475493752,544.8203125,12.460894107818604,80.25106315385095,337.47705078125
TiO2.cif,3,eager,324,15336,bfloat16,,,172.39665985107422,5.800576419890358,2000.421875,108.21051788330078,9.241245856326518,897.67578125
TiO2.cif,3,compile,324,15336,bfloat16,512,,146.2363370259603,6.83824568050058,1681.0126953125,33.92455079820421,29.477177338275467,997.9267578125
TiO2.cif,4,eager,768,36352,bfloat16,,,333.5910873413086,2.997682006344688,4602.66015625,215.57279459635416,4.638804269678064,2035.783203125
TiO2.cif,4,compile,768,36352,bfloat16,1024,,255.93255615234375,3.9072793826384102,3919.283203125,63.67431089613173,15.704920648944956,2524.08154296875
AlN_mp-661_computed.cif,2,eager,32,1504,bfloat16,,,39.38705110549927,25.38905482721906,299.833984375,19.864405314127605,50.34130064235036,169.73291015625
AlN_mp-661_computed.cif,2,compile,32,1504,bfloat16,512,,22.227199872334797,44.989922515820595,271.626953125,4.723150173823039,211.72310072677072,206.345703125
AlN_mp-661_computed.cif,3,eager,108,5076,bfloat16,,,71.98404312133789,13.891967672812958,771.60986328125,44.292323642306854,22.577275648840118,388.07763671875
AlN_mp-661_computed.cif,3,compile,108,5076,bfloat16,512,,59.14820257822672,16.90668450452819,652.111328125,12.655672815110949,79.01594918019642,423.31982421875
AlN_mp-661_computed.cif,4,eager,256,12032,bfloat16,,,142.11421966552734,7.03659353971438,1638.6875,90.08145099216037,11.101064525337499,763.65234375
AlN_mp-661_computed.cif,4,compile,256,12032,bfloat16,512,,122.07019933064778,8.192007594673708,1384.05029296875,27.841535992092556,35.91755858168228,845.28466796875
