structure_name,size,mode,num_atoms,num_edges,amp,compile_bucket_atoms,compile_bucket_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,2,eager,96,4544,none,,,156.89064343770346,6.3738663956532875,1124.4794921875,33.64337968826294,29.723529837546817,407.90771484375
TiO2.cif,2,compile,96,4544,none,512,,64.80281639099121,15.431428071990688,984.89208984375,19.84717607498169,50.38500168598532,575.32373046875
TiO2.cif,3,eager,324,15336,none,,,219.38858286539713,4.558122336810646,3587.396484375,121.45561695098877,8.233460296887973,1270.41943359375
TiO2.cif,3,compile,324,15336,none,512,,205.3934097290039,4.8687053850432696,3080.140625,36.158592224121094,27.65594395383868,1761.2353515625
TiO2.cif,4,eager,768,36352,none,,,441.40851338704425,2.26547510904748,8357.1484375,223.27723121643066,4.478737014750348,2907.64111328125
TiO2.cif,4,compile,768,36352,none,1024,,371.7439320882161,2.69002373322585,7260.65625,64.89113521575928,15.410425425214981,4171.736328125
AlN_mp-661_computed.cif,2,eager,32,1504,none,,,40.374960581461586,24.767826038674976,469.0068359375,26.457475900650024,37.79650045813446,210.2587890625
AlN_mp-661_computed.cif,2,compile,32,1504,none,512,,29.015381177266438,34.46447916333081,423.15087890625,26.93977987766266,37.11982817013135,289.361328125
AlN_mp-661_computed.cif,3,eager,108,5076,none,,,85.03330103556316,11.760098547529912,1310.62646484375,49.28755283355713,20.28909821059641,515.24072265625
AlN_mp-661_computed.cif,3,compile,108,5076,none,512,,77.05395253499348,12.977919588821319,1131.41796875,24.713087677955627,40.46438927548548,691.5927734375
AlN_mp-661_computed.cif,4,eager,256,12032,none,,,177.8182830810547,5.623718678827706,2888.9677734375,104.17204761505127,9.599504117412733,1058.4072265625
AlN_mp-661_computed.cif,4,compile,256,12032,none,512,,157.586794535319,6.345709378433203,2487.89794921875,29.97222399711609,33.36422415954917,1447.4169921875
