structure_name,size,num_atoms,mode,dispatch_mode,mean_ms,p50_ms,peak_mem_mb
AlN_mp-661_computed.cif,2,32,auto,eager,30.87497075398763,24.470656394958496,179.2001953125
AlN_mp-661_computed.cif,2,32,compile,compile,27.97001075744629,13.831904411315918,263.4296875
AlN_mp-661_computed.cif,2,32,eager,eager,28.38044834136963,21.828816413879395,204.07177734375
AlN_mp-661_computed.cif,3,108,auto,eager,52.121460596720375,52.06692695617676,440.56689453125
AlN_mp-661_computed.cif,3,108,compile,compile,31.076789538065594,31.032560348510742,721.2900390625
AlN_mp-661_computed.cif,3,108,eager,eager,53.13435745239258,52.20759963989258,440.56689453125
AlN_mp-661_computed.cif,4,256,auto,compile,68.71775436401367,68.17326354980469,1600.267578125
AlN_mp-661_computed.cif,4,256,compile,compile,67.30359903971355,67.05294418334961,1600.267578125
AlN_mp-661_computed.cif,4,256,eager,eager,112.55581919352214,113.10606384277344,952.58251953125
TiO2.cif,2,96,auto,eager,51.16822942097982,45.77400016784668,405.7587890625
TiO2.cif,2,96,compile,compile,26.09892813364665,26.058303833007812,675.841796875
TiO2.cif,2,96,eager,eager,99.73765436808269,32.293344497680664,404.32275390625
TiO2.cif,3,324,auto,compile,86.91189320882161,85.43456268310547,2016.40185546875
TiO2.cif,3,324,compile,compile,84.47878901163737,83.29609680175781,2078.66943359375
TiO2.cif,3,324,eager,eager,138.37922159830728,139.16057586669922,1197.42919921875
TiO2.cif,4,768,auto,compile,177.9633000691732,177.752685546875,4677.97119140625
TiO2.cif,4,768,compile,compile,173.93191782633463,173.75415802001953,4678.47119140625
TiO2.cif,4,768,eager,eager,302.08302815755206,301.5989685058594,2741.7978515625
