structure_name,size,mode,num_atoms,num_edges,amp,compile_bucket_atoms,compile_bucket_edges,train_mean_ms,train_steps_per_s,train_peak_mem_mb,infer_mean_ms,infer_steps_per_s,infer_peak_mem_mb
TiO2.cif,2,eager,96,4544,none,,,73.46372826894124,13.612159681565968,1124.4794921875,31.887937545776367,31.35982057680781,407.90771484375
TiO2.cif,2,compile,96,4544,none,,,94.41971206665039,10.591008785264089,974.86572265625,11.646805392371284,85.86045411688642,559.76318359375
TiO2.cif,3,eager,324,15336,none,,,238.27557245890299,4.196821309378983,3562.8662109375,116.76308017306857,8.564350979074721,1247.54931640625
TiO2.cif,3,compile,324,15336,none,,,232.17280451456705,4.307136669563113,3077.2783203125,34.74591276380751,28.78036351491773,1724.91796875
TiO2.cif,4,eager,768,36352,none,,,445.0815709431966,2.2467791642795847,8341.6650390625,232.6892327202691,4.297577452593886,2893.65576171875
TiO2.cif,4,compile,768,36352,none,,,416.9457194010417,2.398393732010339,7177.7958984375,69.29322666592068,14.431424947509525,3984.0283203125
AlN_mp-661_computed.cif,2,eager,32,1504,none,,,41.96027978261312,23.832062254607873,430.681640625,23.720732582939995,42.157214011139025,170.5810546875
AlN_mp-661_computed.cif,2,compile,32,1504,none,,,42.369449615478516,23.601911496973457,362.21044921875,11.619271066453722,86.06391866415133,231.9443359375
AlN_mp-661_computed.cif,3,eager,108,5076,none,,,99.6044807434082,10.039708982330895,1251.15185546875,57.657562467787,17.34377863369953,453.01806640625
AlN_mp-661_computed.cif,3,compile,108,5076,none,,,103.90263430277507,9.624395057068266,1074.0458984375,13.012430138058132,76.84959607008747,624.7666015625
AlN_mp-661_computed.cif,4,eager,256,12032,none,,,199.35573069254556,5.016158785734834,2829.1259765625,103.64229287041559,9.648570793877596,994.8623046875
AlN_mp-661_computed.cif,4,compile,256,12032,none,,,194.8608830769857,5.131866304870022,2430.82763671875,27.337102042304146,36.58032217359765,1369.232421875
